OrderID,SupplierID,ProductID,OrderDate,Warehouse,Quantity,UnitPrice,Amount,PaymentStatus
1,498,77,2024-03-27,Liberec Warehouse,88,1696,149248,Paid
2,192,27,2025-09-26,Olomouc Warehouse,104,1045,108680,Paid
3,454,78,2024-03-25,Prague Warehouse,124,1387,171988,Paid
4,63,24,2024-07-12,Prague Warehouse,185,367,67895,Paid
5,73,67,2025-06-11,Pardubice Warehouse,34,534,18156,Pending
6,161,63,2025-09-21,Olomouc Warehouse,41,2135,87535,Pending
7,169,94,2023-03-01,Plzen Warehouse,168,2597,436296,Pending
8,89,99,2025-03-07,Prague Warehouse,11,3308,36388,Paid
9,176,48,2024-11-19,Plzen Warehouse,1,1713,1713,Paid
10,269,63,2025-04-08,Prague Warehouse,158,818,129244,Paid
11,73,78,2023-12-05,Prague Warehouse,171,4078,697338,Paid
12,245,12,2025-08-15,Brno Warehouse,82,2331,191142,Paid
13,77,28,2023-09-19,Ostrava Warehouse,26,3772,98072,Pending
14,159,44,2025-12-29,Prague Warehouse,53,840,44520,Pending
15,489,93,2023-02-25,Prague Warehouse,125,904,113000,Paid
16,459,43,2025-03-17,Olomouc Warehouse,175,4612,807100,Overdue
17,324,17,2023-02-25,Ostrava Warehouse,9,4986,44874,Pending
18,98,40,2023-06-21,Ostrava Warehouse,9,3871,34839,Pending
19,381,49,2025-05-27,Ostrava Warehouse,129,1826,235554,Paid
20,102,85,2023-10-05,Zlin Warehouse,199,3612,718788,Overdue
21,494,57,2025-08-03,Prague Warehouse,172,1198,206056,Paid
22,132,87,2024-01-08,Prague Warehouse,59,2721,160539,Paid
23,102,84,2023-04-13,Plzen Warehouse,184,3905,718520,Paid
24,19,64,2024-06-16,Prague Warehouse,106,3110,329660,Paid
25,454,75,2025-02-15,Plzen Warehouse,179,3083,551857,Overdue
26,482,57,2024-11-01,Ostrava Warehouse,125,3804,475500,Pending
27,82,98,2024-03-09,Zlin Warehouse,16,3483,55728,Paid
28,397,74,2025-07-20,Ceske Budejovice Warehouse,38,1944,73872,Paid
29,489,74,2024-10-31,Hradec Kralove Warehouse,139,4024,559336,Paid
30,279,70,2024-11-22,Prague Warehouse,153,3199,489447,Paid
31,339,100,2025-02-15,Pardubice Warehouse,59,4621,272639,Paid
32,365,88,2024-07-23,Prague Warehouse,29,4981,144449,Paid
33,331,76,2025-05-13,Plzen Warehouse,168,634,106512,Paid
34,129,43,2024-05-31,Olomouc Warehouse,8,384,3072,Pending
35,344,23,2023-06-17,Prague Warehouse,98,2769,271362,Paid
36,310,27,2025-08-21,Plzen Warehouse,134,3886,520724,Pending
37,455,58,2023-02-09,Prague Warehouse,173,1229,212617,Paid
38,89,37,2023-04-17,Brno Warehouse,109,603,65727,Paid
39,213,6,2024-12-17,Ceske Budejovice Warehouse,181,4241,767621,Pending
40,143,65,2024-04-04,Prague Warehouse,108,636,68688,Paid
41,65,6,2023-05-21,Prague Warehouse,149,161,23989,Pending
42,76,50,2023-03-24,Ostrava Warehouse,57,2483,141531,Pending
43,199,22,2023-03-05,Pardubice Warehouse,76,310,23560,Paid
44,143,88,2024-05-21,Prague Warehouse,113,2547,287811,Paid
45,405,25,2024-02-13,Brno Warehouse,6,4904,29424,Pending
46,403,79,2023-02-11,Ceske Budejovice Warehouse,191,2494,476354,Paid
47,316,90,2023-11-09,Prague Warehouse,124,3369,417756,Paid
48,93,72,2024-05-03,Brno Warehouse,134,476,63784,Pending
49,473,51,2023-09-16,Liberec Warehouse,53,1285,68105,Paid
50,417,88,2025-08-27,Ostrava Warehouse,132,3379,446028,Paid
51,305,48,2023-08-23,Pardubice Warehouse,9,3598,32382,Paid
52,224,70,2024-03-22,Prague Warehouse,69,2947,203343,Paid
53,497,99,2025-08-10,Ceske Budejovice Warehouse,74,886,65564,Paid
54,291,65,2024-06-08,Hradec Kralove Warehouse,111,832,92352,Paid
55,428,60,2025-01-25,Prague Warehouse,87,3968,345216,Paid
56,102,46,2023-12-10,Prague Warehouse,4,2799,11196,Paid
57,474,36,2023-08-23,Zlin Warehouse,186,4717,877362,Overdue
58,267,58,2023-12-02,Ostrava Warehouse,37,2258,83546,Paid
59,355,76,2024-09-29,Plzen Warehouse,71,3720,264120,Pending
60,456,38,2023-08-10,Plzen Warehouse,6,3764,22584,Paid
61,110,11,2023-02-22,Liberec Warehouse,51,2755,140505,Pending
62,462,12,2024-09-30,Liberec Warehouse,99,1178,116622,Paid
63,330,42,2025-02-07,Prague Warehouse,178,3394,604132,Paid
64,450,39,2025-03-23,Brno Warehouse,96,3746,359616,Overdue
65,430,71,2024-02-11,Pardubice Warehouse,142,4719,670098,Paid
66,265,11,2023-06-05,Liberec Warehouse,11,2293,25223,Pending
67,3,36,2024-05-12,Plzen Warehouse,10,2411,24110,Paid
68,85,52,2023-07-28,Zlin Warehouse,189,4663,881307,Pending
69,282,31,2024-09-09,Olomouc Warehouse,13,1684,21892,Paid
70,328,33,2023-09-05,Prague Warehouse,121,3106,375826,Paid
71,304,13,2023-03-26,Pardubice Warehouse,162,4144,671328,Paid
72,450,18,2024-12-12,Brno Warehouse,60,1310,78600,Paid
73,454,41,2025-12-27,Prague Warehouse,179,3514,629006,Paid
74,412,58,2025-05-27,Brno Warehouse,5,2086,10430,Paid
75,117,56,2025-01-28,Liberec Warehouse,160,3270,523200,Pending
76,221,24,2023-05-22,Hradec Kralove Warehouse,12,2826,33912,Paid
77,154,73,2025-11-02,Brno Warehouse,180,1848,332640,Overdue
78,153,31,2024-11-29,Brno Warehouse,141,857,120837,Pending
79,12,55,2023-01-26,Ostrava Warehouse,85,1277,108545,Paid
